aX,aY,aZ,gX,gY,gZ
3.083,0.549,-0.595,30.884,21.301,66.833
3.708,1.080,-0.788,59.204,21.790,75.256
4.000,1.434,-0.682,136.658,3.052,40.588
4.000,1.484,0.274,250.366,-44.128,-30.273
4.000,0.811,1.359,396.973,-70.557,-123.535
4.000,-0.667,1.779,469.421,-28.748,-198.730
3.989,-2.552,2.583,337.219,20.691,-205.017
3.639,-3.926,3.753,34.546,51.636,-113.831
2.911,-3.504,4.000,-189.148,135.315,81.909
2.094,-0.731,3.999,-250.000,284.729,328.003
1.640,1.827,3.797,-174.438,361.145,443.909
1.348,3.213,4.000,-61.340,289.124,412.292
0.883,4.000,4.000,-0.671,202.820,322.937
0.301,4.000,4.000,25.452,214.050,214.722
-0.293,4.000,4.000,83.679,322.327,26.978
-1.000,2.625,4.000,139.282,430.847,-234.802
-1.506,0.047,4.000,170.837,468.384,-406.555
-1.805,-1.386,4.000,190.491,465.454,-407.654
-1.993,-1.213,4.000,193.115,452.454,-280.579
-2.239,-0.059,4.000,184.631,434.631,-146.484
-2.668,0.146,3.886,170.654,440.430,-124.207
-3.194,-0.569,3.014,150.818,478.027,-169.312
-3.500,-1.567,1.760,114.990,527.222,-201.782
-3.589,-2.418,0.725,74.402,564.758,-178.101
-3.480,-2.668,-0.323,29.785,543.274,-72.632
-3.409,-2.028,-0.597,8.362,420.532,91.187
-3.360,-0.758,-0.275,-23.193,309.387,235.535
-3.287,0.204,-0.202,-80.688,264.954,303.955
-3.095,0.798,-0.523,-119.019,260.132,314.941
-2.896,1.171,-0.909,-135.193,254.822,295.410
-2.607,1.293,-1.320,-117.920,237.732,254.028
-2.320,1.127,-1.569,-82.092,202.515,202.271
-2.055,0.908,-1.667,-57.007,159.790,161.560
-1.810,0.791,-1.705,-41.077,121.216,139.526
-1.589,0.751,-1.731,-25.085,88.074,126.221
-1.394,0.777,-1.805,-12.207,60.181,115.051
-1.175,0.865,-1.897,-4.639,32.593,102.295
-0.959,0.891,-1.793,9.155,-4.883,83.313
