aX,aY,aZ,gX,gY,gZ
1.593,0.734,0.394,2.686,28.748,40.588
1.731,0.795,0.412,-1.709,32.104,43.823
1.905,0.787,0.432,-3.601,35.095,43.457
2.124,0.788,0.428,-14.587,42.542,47.363
2.175,0.901,0.368,-48.828,54.993,58.777
2.417,1.051,0.124,-80.750,72.205,72.449
2.653,1.316,-0.142,-122.314,80.139,87.769
2.905,1.554,-0.184,-152.466,70.496,92.529
3.021,1.712,0.140,-158.997,47.668,79.102
3.102,1.808,0.507,-134.399,37.720,45.532
3.174,1.492,0.554,-62.134,52.979,-13.489
3.062,0.666,0.149,12.695,89.539,-86.243
2.928,-0.374,-0.889,61.035,134.644,-136.414
2.592,-1.369,-2.207,51.636,160.645,-141.235
2.150,-1.849,-3.165,-33.630,134.888,-90.332
1.603,-1.643,-3.645,-130.554,63.904,2.869
0.878,-0.974,-3.938,-223.022,-10.193,99.915
-0.185,-0.784,-4.000,-281.494,-82.031,150.757
-1.429,-1.061,-3.773,-268.311,-173.950,167.236
-2.758,-0.917,-2.908,-188.293,-288.025,206.177
-3.988,-0.067,-1.627,-91.492,-392.334,269.348
-4.000,1.039,-0.640,0.000,-454.529,316.406
-4.000,1.212,-0.021,58.777,-484.253,297.119
-4.000,0.099,0.619,69.153,-514.404,234.985
-4.000,-0.156,2.397,15.137,-579.529,262.939
-4.000,1.771,4.000,-47.302,-674.988,421.875
-4.000,4.000,4.000,-78.003,-769.287,579.407
-4.000,4.000,4.000,55.542,-750.183,626.648
-3.274,4.000,4.000,253.540,-213.562,426.636
-4.000,4.000,2.738,103.333,884.399,-190.796
-4.000,-1.307,-4.000,-129.395,1403.748,-801.636
-4.000,-4.000,-4.000,-125.122,942.993,-952.454
-2.613,-4.000,-4.000,-54.688,441.772,-672.485
-1.295,-3.952,-4.000,-36.316,256.958,-202.209
-0.844,-1.232,-3.934,-34.851,153.992,123.596
-0.447,0.086,-2.880,-4.150,37.903,188.721
-0.154,0.290,-1.710,14.954,-39.246,152.771
-0.070,0.305,-0.987,30.090,-53.772,120.117
0.000,0.573,-0.665,34.241,-39.307,121.033
0.010,1.093,-0.441,41.199,-32.471,136.780
0.045,1.584,-0.283,52.246,-28.198,133.423
0.082,1.764,-0.146,40.161,-22.522,96.191
0.080,1.532,-0.052,13.428,-15.015,37.964
0.062,1.119,0.009,-7.202,-6.897,-6.531
0.070,0.890,0.197,-12.085,-6.958,-19.226
0.091,0.876,0.418,-6.470,-7.751,-12.146
0.066,0.908,0.519,5.249,1.404,-5.127
0.020,0.933,0.483,18.921,17.456,-3.113
-0.004,0.961,0.443,24.536,28.992,-2.441
-0.016,0.952,0.455,24.170,32.593,-4.822
-0.012,0.923,0.446,20.325,35.278,-10.132
0.024,0.901,0.430,22.644,37.048,-15.137
0.052,0.837,0.409,26.611,38.391,-21.667
0.067,0.786,0.430,25.330,37.231,-27.222
0.109,0.792,0.465,26.489,35.339,-28.992
0.150,0.787,0.519,28.564,35.889,-31.677
0.172,0.772,0.460,24.780,42.908,-33.875
0.192,0.704,0.350,25.818,51.147,-36.987
0.196,0.609,0.330,20.752,51.514,-38.635
0.212,0.581,0.351,15.686,48.401,-34.485
0.226,0.629,0.333,14.954,48.157,-25.696
0.238,0.722,0.301,15.381,48.035,-18.127
0.261,0.834,0.320,16.479,44.678,-14.771
0.278,0.861,0.347,16.418,41.992,-19.104
0.294,0.878,0.355,22.644,40.344,-24.292
0.340,0.839,0.272,38.940,42.908,-28.809
0.404,0.716,0.215,46.326,42.175,-34.119
0.472,0.614,0.212,38.818,35.522,-34.119
0.515,0.620,0.205,31.189,31.189,-25.452
0.585,0.673,0.179,21.851,28.442,-15.930
0.612,0.747,0.218,15.015,19.226,-7.507
0.575,0.794,0.323,7.507,8.789,-3.784
0.567,0.821,0.385,6.042,6.775,-4.639
0.588,0.874,0.420,10.010,8.850,-6.714
0.545,0.917,0.435,14.465,11.658,-10.071
0.495,0.879,0.402,16.907,16.357,-18.555
0.505,0.842,0.340,19.775,19.348,-26.306
0.609,0.750,0.227,24.292,19.653,-29.541
0.441,0.676,0.226,10.437,14.160,-25.146
0.615,0.721,0.088,9.338,7.690,-14.648
0.659,0.784,0.114,32.959,-6.165,-9.827
0.684,1.015,0.448,10.986,-32.654,-1.282
0.718,1.034,0.540,9.033,-28.687,-9.888
0.683,0.878,0.425,18.738,-11.841,-28.992
